laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
S12000033,ABERDEEN CITY,119226,119044,95.2,49.9,42.4,35.7,35.7,0.0,0.1,0.6,4.7,0.2,97.6,0.0,113457,59494,50514,42566,42566,38,164,768,5587,249,116382,0,62943,50514,38,126,604,4819,52.8,42.4,0.0,0.1,0.5,4.0
S12000034,ABERDEENSHIRE,118041,117265,82.9,7.5,7.2,7.1,7.1,2.6,5.7,9.2,16.4,3.5,94.8,0.0,97857,8797,8551,8412,8412,3049,6708,10828,19408,4181,111847,0,89306,8551,3049,3659,4120,8580,75.7,7.2,2.6,3.1,3.5,7.3
E07000223,ADUR,28243,28229,99.0,87.5,87.4,0.6,0.6,0.0,0.0,0.1,1.0,0.1,99.6,0.0,27956,24725,24688,178,178,0,6,28,273,23,28136,0,3268,24688,0,6,22,245,11.6,87.4,0.0,0.0,0.1,0.9
E07000026,ALLERDALE,46579,46506,93.2,2.9,2.9,2.9,2.9,1.1,2.1,3.0,6.6,0.9,99.1,1.6,43429,1331,1331,1331,1331,516,973,1399,3077,433,46139,762,42098,1331,516,457,426,1678,90.4,2.9,1.1,1.0,0.9,3.6
E07000032,AMBER VALLEY,57161,57046,95.0,31.1,27.4,24.3,24.3,0.1,0.4,0.8,4.8,0.3,99.2,0.0,54326,17749,15658,13889,13889,51,230,459,2720,195,56683,0,38668,15658,51,179,229,2261,67.6,27.4,0.1,0.3,0.4,4.0
S12000041,ANGUS,57044,56621,86.9,14.9,14.7,2.0,2.0,1.4,3.7,6.9,12.3,2.4,95.4,0.0,49584,8484,8368,1148,1148,781,2125,3909,7037,1358,54424,0,41216,8368,781,1344,1784,3128,72.3,14.7,1.4,2.4,3.1,5.5
N09000001,ANTRIM AND NEWTOWNABBEY,57540,57341,92.1,77.1,76.9,65.5,65.5,1.6,3.0,3.8,7.5,1.2,99.0,0.0,53016,44369,44242,37698,37698,940,1721,2171,4325,672,56941,0,8774,44242,940,781,450,2154,15.2,76.9,1.6,1.4,0.8,3.7
N09000011,ARDS AND NORTH DOWN,68863,68733,94.8,71.5,71.3,69.6,69.6,0.6,1.2,2.1,5.0,0.8,99.7,0.0,65274,49252,49100,47902,47902,398,797,1475,3459,536,68636,0,16174,49100,398,399,678,1984,23.5,71.3,0.6,0.6,1.0,2.9
S12000035,ARGYLL AND BUTE,49115,48018,79.4,1.6,1.6,1.6,1.6,2.8,5.3,9.5,18.4,6.7,89.7,0.0,38988,786,786,785,786,1382,2610,4678,9030,3315,44041,0,38202,786,1382,1228,2068,4352,77.8,1.6,2.8,2.5,4.2,8.9
N09000002,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",80209,79893,88.2,59.0,58.2,59.0,59.0,1.6,3.2,5.0,11.4,2.0,98.4,0.2,70776,47315,46645,47315,47315,1245,2548,4008,9117,1584,78930,134,24131,46645,1245,1303,1460,5109,30.1,58.2,1.6,1.6,1.8,6.4
E07000224,ARUN,75103,75049,96.7,9.7,6.1,3.5,3.5,0.1,0.2,0.4,3.3,0.1,99.7,0.0,72597,7288,4600,2594,2594,89,126,274,2452,105,74842,0,67997,4600,89,37,148,2178,90.5,6.1,0.1,0.0,0.2,2.9
E07000170,ASHFIELD,56003,55929,98.6,89.1,88.8,3.8,3.8,0.0,0.3,0.3,1.3,0.2,99.2,0.0,55205,49926,49726,2134,2134,3,164,183,724,133,55541,0,5479,49726,3,161,19,541,9.8,88.8,0.0,0.3,0.0,1.0
E07000105,ASHFORD,54235,54149,90.9,49.8,46.9,7.7,7.7,0.4,1.6,3.3,8.9,0.9,98.6,0.0,49299,27002,25419,4171,4171,197,889,1782,4850,513,53500,0,23880,25419,197,692,893,3068,44.0,46.9,0.4,1.3,1.6,5.7
E07000200,BABERGH,40608,40527,93.8,12.9,12.6,8.3,8.3,0.4,0.8,1.3,6.0,0.6,99.0,0.0,38073,5226,5113,3361,3361,147,329,537,2454,249,40219,0,32960,5113,147,182,208,1917,81.2,12.6,0.4,0.4,0.5,4.7
E09000002,BARKING AND DAGENHAM,76819,76798,99.3,88.7,88.6,52.3,52.3,0.0,0.3,0.3,0.7,0.0,99.3,0.0,76265,68104,68096,40209,40209,10,198,256,533,16,76273,0,8169,68096,10,188,58,277,10.6,88.6,0.0,0.2,0.1,0.4
E09000003,BARNET,152038,151907,97.6,58.8,55.0,21.4,21.4,0.0,0.0,0.0,2.3,0.1,98.5,0.0,148338,89336,83619,32472,32472,0,16,66,3569,131,149732,0,64719,83619,0,16,50,3503,42.6,55.0,0.0,0.0,0.0,2.3
E08000016,BARNSLEY,111622,111403,98.3,69.9,66.2,22.6,22.6,0.1,0.2,0.2,1.5,0.2,99.4,0.0,109693,78054,73861,25179,25180,71,168,253,1710,242,110944,0,35832,73861,71,97,85,1457,32.1,66.2,0.1,0.1,0.1,1.3
E07000027,BARROW-IN-FURNESS,33724,33698,98.6,0.9,0.9,0.9,0.9,0.1,0.2,0.3,1.3,0.1,99.9,0.1,33266,294,294,294,294,44,68,105,432,46,33696,34,32972,294,44,24,37,327,97.8,0.9,0.1,0.1,0.1,1.0
E07000066,BASILDON,78798,78656,97.9,74.2,72.9,15.1,15.1,0.0,0.1,0.2,1.9,0.2,99.6,0.0,77159,58491,57472,11877,11877,5,65,175,1497,145,78475,0,19687,57472,5,60,110,1322,25.0,72.9,0.0,0.1,0.1,1.7
E07000084,BASINGSTOKE AND DEANE,76982,76909,96.3,53.2,51.6,17.5,51.3,0.2,0.5,1.0,3.6,0.5,99.1,0.0,74162,40969,39714,13477,39509,116,393,779,2747,367,76280,0,34448,39714,116,277,386,1968,44.7,51.6,0.2,0.4,0.5,2.6
E07000171,BASSETLAW,52971,52819,96.1,34.1,27.4,6.4,6.4,0.4,0.7,1.0,3.7,0.4,99.3,6.8,50882,18060,14524,3366,3366,193,354,530,1937,238,52607,3622,36358,14524,193,161,176,1407,68.6,27.4,0.4,0.3,0.3,2.7
E06000022,BATH AND NORTH EAST SOMERSET,83070,82937,91.8,59.1,52.4,21.2,21.2,0.3,0.7,1.6,8.1,0.5,95.7,0.0,76235,49134,43519,17570,17570,224,577,1354,6702,425,79461,0,32716,43519,224,353,777,5348,39.4,52.4,0.3,0.4,0.9,6.4
E06000055,BEDFORD,76593,76560,97.7,75.1,72.3,9.3,9.3,0.1,0.3,0.6,2.2,0.1,99.4,0.0,74849,57552,55345,7147,7147,65,203,432,1711,97,76120,0,19504,55345,65,138,229,1279,25.5,72.3,0.1,0.2,0.3,1.7
N09000003,BELFAST,153846,153675,99.0,93.4,93.4,73.4,73.4,0.0,0.0,0.2,0.9,0.1,99.1,0.0,152251,143670,143666,112863,112863,14,27,257,1424,168,152521,0,8585,143666,14,13,230,1167,5.6,93.4,0.0,0.0,0.1,0.8
E09000004,BEXLEY,98306,98205,98.3,79.6,78.6,27.4,27.4,0.0,0.0,0.2,1.6,0.1,98.8,0.0,96621,78300,77230,26926,26926,1,6,154,1584,99,97164,0,19391,77230,1,5,148,1430,19.7,78.6,0.0,0.0,0.2,1.5
E08000025,BIRMINGHAM,440137,439445,97.2,91.9,91.2,33.1,90.6,0.0,0.1,0.6,2.6,0.2,97.3,0.0,427907,404554,401399,145552,398789,22,292,2580,11538,711,428180,0,26508,401399,22,270,2288,8958,6.0,91.2,0.0,0.1,0.5,2.0
E07000129,BLABY,43081,43053,98.2,74.1,71.0,33.8,33.8,0.0,0.2,0.3,1.8,0.1,99.1,0.0,42298,31904,30585,14555,14555,21,71,109,755,33,42683,0,11713,30585,21,50,38,646,27.2,71.0,0.0,0.1,0.1,1.5
E06000008,BLACKBURN WITH DARWEN,61061,61017,98.1,70.1,69.8,9.8,9.8,0.0,0.2,0.4,1.9,0.1,99.5,23.3,59878,42792,42642,5974,5982,25,111,264,1139,68,60740,14213,17236,42642,25,86,153,875,28.2,69.8,0.0,0.1,0.3,1.4
E06000009,BLACKPOOL,72173,72148,99.1,73.1,73.0,0.5,0.5,0.0,0.0,0.0,0.9,0.0,99.3,0.0,71527,52737,52681,392,392,1,8,24,621,25,71648,0,18846,52681,1,7,16,597,26.1,73.0,0.0,0.0,0.0,0.8
W06000019,BLAENAU GWENT,32822,32800,97.0,4.7,3.4,2.3,2.3,0.0,0.1,0.4,3.0,0.1,99.7,0.0,31822,1545,1120,740,740,13,34,131,978,36,32739,15,30702,1120,13,21,97,847,93.5,3.4,0.0,0.1,0.3,2.6
E07000033,BOLSOVER,36514,36470,95.3,42.7,37.9,13.8,13.8,0.1,0.1,0.3,4.6,0.2,99.0,0.0,34784,15588,13824,5026,5026,22,53,101,1686,61,36140,0,20960,13824,22,31,48,1585,57.4,37.9,0.1,0.1,0.1,4.3
E08000001,BOLTON,124287,124242,98.6,87.7,85.7,1.1,84.3,0.0,0.1,0.3,1.3,0.0,99.4,0.0,122571,108968,106550,1402,104738,22,102,353,1671,50,123522,0,16021,106550,22,80,251,1318,12.9,85.7,0.0,0.1,0.2,1.1
