Area,code,Unemployment rate (model based)
gor:London,E12000007,4.7
ladu:Darlington,E06000005,6.2
ladu:County Durham,E06000047,5.3
ladu:Hartlepool,E06000001,7.4
ladu:Middlesbrough,E06000002,7.1
ladu:Northumberland,E06000057,4.5
ladu:Redcar and Cleveland,E06000003,5.7
ladu:Stockton-on-Tees,E06000004,5.6
ladu:Gateshead,E08000037,5.2
ladu:Newcastle upon Tyne,E08000021,6.1
ladu:North Tyneside,E08000022,4.4
ladu:South Tyneside,E08000023,7.1
ladu:Sunderland,E08000024,6.0
ladu:Blackburn with Darwen,E06000008,5.2
ladu:Blackpool,E06000009,4.8
ladu:Cheshire East,E06000049,2.8
ladu:Cheshire West and Chester,E06000050,3.2
ladu:Halton,E06000006,4.0
ladu:Warrington,E06000007,2.9
ladu:Allerdale,E07000026,3.0
ladu:Barrow-in-Furness,E07000027,4.3
ladu:Carlisle,E07000028,2.6
ladu:Copeland,E07000029,3.4
ladu:Eden,E07000030,1.8
ladu:South Lakeland,E07000031,2.0
ladu:Bolton,E08000001,5.6
ladu:Bury,E08000002,3.8
ladu:Manchester,E08000003,6.2
ladu:Oldham,E08000004,4.5
ladu:Rochdale,E08000005,4.5
ladu:Salford,E08000006,4.6
ladu:Stockport,E08000007,3.3
ladu:Tameside,E08000008,4.4
ladu:Trafford,E08000009,3.3
ladu:Wigan,E08000010,4.0
ladu:Burnley,E07000117,5.1
ladu:Chorley,E07000118,2.9
ladu:Fylde,E07000119,2.7
ladu:Hyndburn,E07000120,4.4
ladu:Lancaster,E07000121,3.9
ladu:Pendle,E07000122,4.0
ladu:Preston,E07000123,3.5
ladu:Ribble Valley,E07000124,1.9
ladu:Rossendale,E07000125,3.3
ladu:South Ribble,E07000126,2.5
ladu:West Lancashire,E07000127,3.4
ladu:Wyre,E07000128,3.3
ladu:Knowsley,E08000011,3.5
ladu:Liverpool,E08000012,3.9
ladu:Sefton,E08000014,3.1
ladu:St. Helens,E08000013,3.8
ladu:Wirral,E08000015,3.5
ladu:East Riding of Yorkshire,E06000011,2.9
"ladu:Kingston upon Hull, City of",E06000010,4.6
ladu:North East Lincolnshire,E06000012,4.5
ladu:North Lincolnshire,E06000013,4.2
ladu:York,E06000014,2.3
ladu:Craven,E07000163,2.1
ladu:Hambleton,E07000164,2.3
ladu:Harrogate,E07000165,2.1
ladu:Richmondshire,E07000166,2.4
ladu:Ryedale,E07000167,2.2
ladu:Scarborough,E07000168,2.9
ladu:Selby,E07000169,2.5
ladu:Barnsley,E08000016,4.2
ladu:Doncaster,E08000017,4.4
ladu:Rotherham,E08000018,4.3
ladu:Sheffield,E08000019,3.7
ladu:Bradford,E08000032,5.5
ladu:Calderdale,E08000033,3.6
ladu:Kirklees,E08000034,3.3
ladu:Leeds,E08000035,3.6
ladu:Wakefield,E08000036,4.1
ladu:Derby,E06000015,4.6
ladu:Leicester,E06000016,5.0
ladu:Nottingham,E06000018,6.5
ladu:Rutland,E06000017,2.9
ladu:Amber Valley,E07000032,3.6
ladu:Bolsover,E07000033,4.0
ladu:Chesterfield,E07000034,5.0
ladu:Derbyshire Dales,E07000035,2.7
ladu:Erewash,E07000036,3.4
ladu:High Peak,E07000037,3.9
ladu:North East Derbyshire,E07000038,3.7
ladu:South Derbyshire,E07000039,2.5
ladu:Blaby,E07000129,2.9
ladu:Charnwood,E07000130,2.8
ladu:Harborough,E07000131,2.6
ladu:Hinckley and Bosworth,E07000132,3.4
ladu:Melton,E07000133,3.2
ladu:North West Leicestershire,E07000134,3.7
ladu:Oadby and Wigston,E07000135,2.8
ladu:Boston,E07000136,3.6
ladu:East Lindsey,E07000137,4.9
ladu:Lincoln,E07000138,6.3
ladu:North Kesteven,E07000139,3.1
ladu:South Holland,E07000140,3.8
ladu:South Kesteven,E07000141,3.6
ladu:West Lindsey,E07000142,4.2
ladu:Corby,E07000150,3.9
ladu:Daventry,E07000151,3.4
ladu:East Northamptonshire,E07000152,2.8
ladu:Kettering,E07000153,3.2
ladu:Northampton,E07000154,4.6
ladu:South Northamptonshire,E07000155,2.3
ladu:Wellingborough,E07000156,3.2
ladu:Ashfield,E07000170,4.1
ladu:Bassetlaw,E07000171,3.9
ladu:Broxtowe,E07000172,3.3
ladu:Gedling,E07000173,3.6
ladu:Mansfield,E07000174,4.3
ladu:Newark and Sherwood,E07000175,4.1
ladu:Rushcliffe,E07000176,2.7
"ladu:Herefordshire, County of",E06000019,2.8
ladu:Shropshire,E06000051,3.0
ladu:Stoke-on-Trent,E06000021,4.8
ladu:Telford and Wrekin,E06000020,4.9
ladu:Cannock Chase,E07000192,3.3
ladu:East Staffordshire,E07000193,3.2
ladu:Lichfield,E07000194,3.0
ladu:Newcastle-under-Lyme,E07000195,4.2
ladu:South Staffordshire,E07000196,2.9
ladu:Stafford,E07000197,2.8
ladu:Staffordshire Moorlands,E07000198,2.5
ladu:Tamworth,E07000199,4.0
ladu:North Warwickshire,E07000218,3.5
ladu:Nuneaton and Bedworth,E07000219,4.0
ladu:Rugby,E07000220,3.3
ladu:Stratford-on-Avon,E07000221,2.3
ladu:Warwick,E07000222,2.5
ladu:Birmingham,E08000025,8.2
ladu:Coventry,E08000026,5.3
ladu:Dudley,E08000027,5.2
ladu:Sandwell,E08000028,5.3
ladu:Solihull,E08000029,3.8
ladu:Walsall,E08000030,5.6
ladu:Wolverhampton,E08000031,5.9
ladu:Bromsgrove,E07000234,3.3
ladu:Malvern Hills,E07000235,3.0
ladu:Redditch,E07000236,3.8
ladu:Worcester,E07000237,3.2
ladu:Wychavon,E07000238,2.6
ladu:Wyre Forest,E07000239,4.0
ladu:Bedford,E06000055,3.7
ladu:Central Bedfordshire,E06000056,2.6
ladu:Luton,E06000032,4.0
ladu:Peterborough,E06000031,5.0
